Name,Gender,purchasecount,profit
"Matthew Flemming",Male,75,39606.02
"Roy Le",Male,32,30685.53
"Karen Jones",Female,30,28819.96
"Jaxon Fyans",Male,23,27274.76
"Jodi Hernandez",Female,40,26934.27
"Zrina Topic",Female,60,26008.23
"Mitchell Woodriff",Male,18,25518.34
"Stephan Rothstein",Male,49,25045.43
"Zane Belgrave",Male,47,24998.02
"Thomas Mull",Male,26,24195.57
"Dennis Weissmuller",Male,40,24054.6
"Evie Wieck",Female,51,23925
"Sam Zimpel",Male,14,23522.68
"Monika Ward",Female,26,22977.86
"Stefanie Hartmann",Female,35,22961.89
"Ollie Davis",Female,62,22954.48
"Tyrone Lewis",Male,63,22885.84
"Virgie Takacs",Female,29,22881.47
"Mie Huus",Female,54,22844.23
"Charles Collins",Male,46,22812.32
"Kyle Valentine",Male,31,22608.92
"Betty Hawthorne",Female,22,22371.55
"Wayne Banks",Male,61,22297.48
"Angelo Nolan",Male,23,22241.24
"Mary Shaw",Female,58,21897.28
"Paul Warren",Male,100,21829.71
"Mandy Serna",Female,42,21670.51
"David West",Male,70,21497.92
"Thu Gilder",Female,31,21451.22
"Bryan Charles",Male,11,21428.48
"Tricia Taylor",Female,34,21290.29
"Barbara Claytor",Female,35,20742.12
"Cassandra Garzon",Female,35,20714.2
"Herbert Lacher",Male,21,20699.2
"Gaspare Trevisan",Male,124,20386.66
"Jonathan Johnson",Male,46,20216.52
"Toni Sanderson",Female,44,19789.92
"Kerman Desaulniers",Male,65,19733.59
"Knud Davidsen",Male,41,19640.06
"Rita Smith",Female,23,19612.94
"Victoria Ortiz",Female,36,19562.89
"Jordan Sissons",Male,22,19515.33
"Judith Lutz",Female,32,19417.21
"Castimir Pejic",Male,23,19389.82
"Kristin Oster",Female,28,19378.4
"Lillian Evans",Female,93,19336.24
"Barbara King",Female,50,19309.2
"Juan Salinas",Male,28,19220.09
"Bibiana Ferri",Female,73,19181.77
"Eliza Norwood",Female,19,19075.18
"Esin Holman",Female,42,18996.17
"Vinod van de Scheur",Male,49,18940.12
"Ines Faust",Female,27,18821.65
"Dallas Hudson",Male,19,18809.73
"Ronald Oconnell",Male,70,18674.24
"Mary Taylor",Female,24,18641.05
"Franziska Kuster",Female,60,18611.58
"Gavin Kent",Male,81,18549.56
"Charles Fischer",Male,25,18163.98
"Anita Hunt",Female,44,17970.16
"Henry Childe",Male,19,17930.93
"Jacqueline Casias",Female,13,17877.61
"Theodore Hickey",Male,17,17870.84
"Robert Burns",Male,46,17725.93
"Michael Gabriel",Male,36,17712.17
"Edward Sims",Male,59,17693.99
"George Reed",Male,22,17673.06
"Shawn Pierre",Male,34,17667.02
"Connor Ruwolt",Male,40,17602.19
"Elmer Henderson",Male,62,17501.2
"Richard Halterman",Male,39,17449.7
"Felix Beyer",Male,54,17417.78
"Essie Scott",Female,74,17294.28
"Margaret Mattson",Female,82,17278.72
"Jill Grant",Female,25,17265.1
"Isabelle Guernon",Female,52,17215.55
"Robert Nelsen",Male,84,17168.67
"Heather Hayes",Female,18,17098.66
"Herbert Petersen",Male,43,17036.95
"Erin Stevens",Female,24,16922.81
"Vera Onio",Female,13,16851.7
"Faye Cloud",Female,41,16755.74
"David McCaffrey",Male,17,16727.08
"Joey Lapham",Male,52,16717.69
"Christopher Yancy",Male,83,16699.37
"Dawn Harper",Female,48,16671.45
"Stella Brookfield",Female,52,16644.41
"Mary Woods",Female,42,16636.73
"Jimmy Small",Male,59,16577
"Robert Tillis",Male,36,16571.34
"Anthony Davis",Male,61,16569.04
"Amanda Harding",Female,37,16553.71
"Marlene Merritt",Female,85,16428.6
"Thomas Charpentier",Male,48,16363.24
"David Hoffmann",Male,53,16264.58
"Olivia Zack",Female,48,16249.58
"Riley De La Rue",Male,31,16199.94
"Martha Thornton",Female,103,16112.97
"Daniel Walton",Male,69,16084.87
"Saša Jelic",Male,29,16080.31
"Frances Colbert",Female,95,16070.33
